Gen,No.,Pokémon,Biome,Excluded,Time,Weather,Context,Preset,Requirements,Bucket,Weight,Lv. Min,Lv. Max,canSeeSky,Hitbox W,Hitbox H,Hitbox Fixed
1,7,Squirtle,Jungle,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,7,Squirtle,Temperate,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,7,Squirtle,Tropical Island,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,7,Squirtle,Freshwater,Freezing,any,any,fishing,,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,7,Squirtle,Hills,Freezing,any,any,fishing,,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,7,Squirtle,Jungle,Freezing,any,any,fishing,,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,7,Squirtle,Temperate,Freezing,any,any,fishing,,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,7,Squirtle,Tropical Island,Freezing,any,any,fishing,,light ≥8,ultra-rare,6,5,31,FALSE,0.7,1.2,FALSE
1,8,Wartortle,Freshwater,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,3.6,16,40,,0.8,1.3,FALSE
1,8,Wartortle,Hills,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,3.6,16,40,,0.8,1.3,FALSE
1,8,Wartortle,Jungle,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,3.6,16,40,,0.8,1.3,FALSE
1,8,Wartortle,Temperate,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,3.6,16,40,,0.8,1.3,FALSE
1,8,Wartortle,Tropical Island,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,3.6,16,40,,0.8,1.3,FALSE
1,8,Wartortle,Freshwater,Freezing,any,any,submerged,Water,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Hills,Freezing,any,any,submerged,Water,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Jungle,Freezing,any,any,submerged,Water,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Temperate,Freezing,any,any,submerged,Water,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Tropical Island,Freezing,any,any,submerged,Water,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Freshwater,Freezing,any,any,fishing,,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Hills,Freezing,any,any,fishing,,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Jungle,Freezing,any,any,fishing,,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Temperate,Freezing,any,any,fishing,,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Tropical Island,Freezing,any,any,fishing,,,ultra-rare,3.6,16,40,TRUE,0.8,1.3,FALSE
1,8,Wartortle,Freshwater,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Hills,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Jungle,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Temperate,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Tropical Island,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Freshwater,Freezing,any,any,fishing,,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Hills,Freezing,any,any,fishing,,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Jungle,Freezing,any,any,fishing,,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Temperate,Freezing,any,any,fishing,,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,8,Wartortle,Tropical Island,Freezing,any,any,fishing,,light ≥8,ultra-rare,3.6,16,40,FALSE,0.8,1.3,FALSE
1,9,Blastoise,Freshwater,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,0.4,36,53,,1.8,3,FALSE
1,9,Blastoise,Hills,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,0.4,36,53,,1.8,3,FALSE
1,9,Blastoise,Jungle,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,0.4,36,53,,1.8,3,FALSE
1,9,Blastoise,Temperate,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,0.4,36,53,,1.8,3,FALSE
1,9,Blastoise,Tropical Island,Freezing,any,any,grounded,Natural,near Water; light ≥8,ultra-rare,0.4,36,53,,1.8,3,FALSE
1,9,Blastoise,Freshwater,Freezing,any,any,submerged,Water,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Hills,Freezing,any,any,submerged,Water,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Jungle,Freezing,any,any,submerged,Water,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Temperate,Freezing,any,any,submerged,Water,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Tropical Island,Freezing,any,any,submerged,Water,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Freshwater,Freezing,any,any,fishing,,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Hills,Freezing,any,any,fishing,,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Jungle,Freezing,any,any,fishing,,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Temperate,Freezing,any,any,fishing,,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Tropical Island,Freezing,any,any,fishing,,,ultra-rare,0.4,36,53,TRUE,1.8,3,FALSE
1,9,Blastoise,Freshwater,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Hills,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Jungle,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Temperate,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Tropical Island,Freezing,any,any,submerged,Water,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Freshwater,Freezing,any,any,fishing,,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Hills,Freezing,any,any,fishing,,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Jungle,Freezing,any,any,fishing,,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Temperate,Freezing,any,any,fishing,,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,9,Blastoise,Tropical Island,Freezing,any,any,fishing,,light ≥8,ultra-rare,0.4,36,53,FALSE,1.8,3,FALSE
1,10,Caterpie,Forest,"Freezing, Spooky",any,any,grounded,"Natural, Foliage, Treetop",light ≥8,common,7,1,20,,0.8,0.6,FALSE
1,10,Caterpie,Plains,"Freezing, Spooky",any,any,grounded,"Natural, Foliage, Treetop",light ≥8,common,7,1,20,,0.8,0.6,FALSE
1,10,Caterpie,Skyroot Forest,"Freezing, Spooky",any,any,grounded,"Natural, Foliage, Treetop",light ≥8,common,7,1,20,,0.8,0.6,FALSE
1,10,Caterpie,Skyroot Woodland,"Freezing, Spooky",any,any,grounded,"Natural, Foliage, Treetop",light ≥8,common,7,1,20,,0.8,0.6,FALSE
1,10,Caterpie (Valencian),Jungle,,any,any,grounded,"Natural, Treetop",light ≥8,common,7,1,20,,0.8,0.6,FALSE
1,10,Caterpie (Valencian),Tropical Island,,any,any,grounded,"Natural, Treetop",light ≥8,common,7,1,20,,0.8,0.6,FALSE
1,10,Caterpie (Valencian),Floral Meadow,,any,any,grounded,,,common,4.5,1,20,,0.8,0.6,FALSE
1,11,Metapod,Forest,"Freezing, Spooky",any,any,grounded,"Natural, Foliage, Treetop",light ≥8,common,2,7,21,,0.8,0.8,FALSE
1,11,Metapod,Plains,"Freezing, Spooky",any,any,grounded,"Natural, Foliage, Treetop",light ≥8,common,2,7,21,,0.8,0.8,FALSE
1,11,Metapod,Skyroot Forest,"Freezing, Spooky",any,any,grounded,"Natural, Foliage, Treetop",light ≥8,common,2,7,21,,0.8,0.8,FALSE
1,11,Metapod,Skyroot Woodland,"Freezing, Spooky",any,any,grounded,"Natural, Foliage, Treetop",light ≥8,common,2,7,21,,0.8,0.8,FALSE
1,11,Metapod (Valencian),Jungle,,any,any,grounded,"Natural, Treetop",light ≥8,common,2,7,21,,0.8,0.8,FALSE
1,11,Metapod (Valencian),Tropical Island,,any,any,grounded,"Natural, Treetop",light ≥8,common,2,7,21,,0.8,0.8,FALSE
1,11,Metapod (Valencian),Floral Meadow,,any,any,grounded,,,common,1,7,21,,0.8,0.8,FALSE
1,12,Butterfree,Temperate,"Floral, Freezing, Spooky",day,any,grounded,Natural,light ≥8,common,1,10,40,,0.5,1.3,FALSE
1,12,Butterfree,Floral,,day,any,grounded,Natural,light ≥8,common,10,10,40,,0.5,1.3,FALSE
1,12,Butterfree,Aether,,any,any,grounded,Natural,light ≥8,common,1,10,40,,0.5,1.3,FALSE
1,12,Butterfree (Valencian),Jungle,,day,any,grounded,Natural,light ≥8,common,1,10,40,,0.5,1.3,FALSE
1,12,Butterfree (Valencian),Tropical Island,,day,any,grounded,Natural,light ≥8,common,1,10,40,,0.5,1.3,FALSE
1,12,Butterfree (Valencian),Floral Meadow,,any,any,grounded,,,common,5,10,40,,0.5,1.3,FALSE
1,13,Weedle,Forest,Freezing,any,any,grounded,"Natural, Treetop",light ≥8,common,7,1,20,,0.8,0.4,FALSE
1,13,Weedle,Jungle,Freezing,any,any,grounded,"Natural, Treetop",light ≥8,common,7,1,20,,0.8,0.4,FALSE
1,13,Weedle,Skyroot Forest,Freezing,any,any,grounded,"Natural, Treetop",light ≥8,common,7,1,20,,0.8,0.4,FALSE
1,13,Weedle,Skyroot Woodland,Freezing,any,any,grounded,"Natural, Treetop",light ≥8,common,7,1,20,,0.8,0.4,FALSE
1,13,Weedle,The Bumblezone,,any,any,grounded,,,common,3,1,20,,0.8,0.4,FALSE
1,14,Kakuna,Forest,Freezing,any,any,grounded,"Natural, Treetop",light ≥8,common,2,7,21,,0.5,0.9,FALSE
1,14,Kakuna,Jungle,Freezing,any,any,grounded,"Natural, Treetop",light ≥8,common,2,7,21,,0.5,0.9,FALSE
1,14,Kakuna,Skyroot Forest,Freezing,any,any,grounded,"Natural, Treetop",light ≥8,common,2,7,21,,0.5,0.9,FALSE
1,14,Kakuna,Skyroot Woodland,Freezing,any,any,grounded,"Natural, Treetop",light ≥8,common,2,7,21,,0.5,0.9,FALSE
1,14,Kakuna,The Bumblezone,,any,any,grounded,,,common,2,7,21,,0.5,0.9,FALSE
1,15,Beedrill,Forest,Freezing,day,clear,grounded,Natural,light ≥8,common,1,10,40,,0.6,1.6,FALSE
1,15,Beedrill,Jungle,Freezing,day,clear,grounded,Natural,light ≥8,common,1,10,40,,0.6,1.6,FALSE
1,15,Beedrill,Skyroot Forest,Freezing,day,clear,grounded,Natural,light ≥8,common,1,10,40,,0.6,1.6,FALSE
1,15,Beedrill,Skyroot Woodland,Freezing,day,clear,grounded,Natural,light ≥8,common,1,10,40,,0.6,1.6,FALSE
1,15,Beedrill,The Bumblezone,,any,any,grounded,,,common,5,10,40,,0.6,1.6,FALSE
1,16,Pidgey,Temperate,Spooky,day,any,grounded,"Natural, Treetop",light ≥8,common,9,1,25,,0.5,0.7,FALSE
1,16,Pidgey,Sky,Spooky,day,any,grounded,"Natural, Treetop",light ≥8,common,9,1,25,,0.5,0.7,FALSE
1,16,Pidgey,Skyroot Forest,,any,any,grounded,"Natural, Treetop",light ≥8,common,9,1,25,,0.5,0.7,FALSE
1,16,Pidgey,Skyroot Woodland,,any,any,grounded,"Natural, Treetop",light ≥8,common,9,1,25,,0.5,0.7,FALSE
1,17,Pidgeotto,Temperate,Spooky,day,any,grounded,"Natural, Treetop",light ≥8,common,0.9,18,35,,0.6,1,FALSE
1,17,Pidgeotto,Sky,Spooky,day,any,grounded,"Natural, Treetop",light ≥8,common,0.9,18,35,,0.6,1,FALSE
1,17,Pidgeotto,Skyroot Forest,,any,any,grounded,"Natural, Treetop",light ≥8,common,0.9,18,35,,0.6,1,FALSE
1,17,Pidgeotto,Skyroot Woodland,,any,any,grounded,"Natural, Treetop",light ≥8,common,0.9,18,35,,0.6,1,FALSE
1,18,Pidgeot,Temperate,Spooky,day,any,grounded,"Natural, Treetop",light ≥8,common,0.1,36,48,,0.75,1.5,FALSE
1,18,Pidgeot,Sky,Spooky,day,any,grounded,"Natural, Treetop",light ≥8,common,0.1,36,48,,0.75,1.5,FALSE
1,18,Pidgeot,Skyroot Forest,,any,any,grounded,"Natural, Treetop",light ≥8,common,0.1,36,48,,0.75,1.5,FALSE
1,18,Pidgeot,Skyroot Woodland,,any,any,grounded,"Natural, Treetop",light ≥8,common,0.1,36,48,,0.75,1.5,FALSE
1,19,Rattata,Grassland,Spooky,night,any,grounded,Natural,light ≥8,common,9,1,25,,0.6,0.5,FALSE
1,19,Rattata,Overworld,Deep Dark,any,any,grounded,Natural,Y ≥0; light ≤7,common,9,1,25,,0.6,0.5,FALSE
1,19,Rattata,Overworld,Deep Dark,any,any,grounded,Derelict,Y ≥0,uncommon,8.4,1,25,FALSE,0.6,0.5,FALSE
1,19,Rattata (Alolan),Overworld,Deep Dark,any,any,grounded,Natural,Y ≤0; light ≤7,common,9,1,25,,0.6,0.5,FALSE
1,19,Rattata (Alolan),Overworld,Deep Dark,any,any,grounded,Derelict,Y ≤0,uncommon,8.4,1,25,FALSE,0.6,0.5,FALSE
1,19,Rattata (Alolan),Spooky,,night,any,grounded,Natural,light ≥8,common,9,1,25,,0.6,0.5,FALSE
1,19,Rattata (Alolan),Spooky,Deep Dark,any,any,grounded,Derelict,,uncommon,8.4,1,25,FALSE,0.6,0.5,FALSE
1,20,Raticate,Grassland,Spooky,night,any,grounded,Natural,light ≥8,common,1,20,41,,0.7,1.1,FALSE
1,20,Raticate,Overworld,Deep Dark,any,any,grounded,Natural,Y ≥0; light ≤7,common,1,20,41,,0.7,1.1,FALSE
1,20,Raticate,Overworld,Deep Dark,any,any,grounded,Derelict,Y ≥0,uncommon,1.6,20,41,FALSE,0.7,1.1,FALSE
1,20,Raticate (Alolan),Overworld,Deep Dark,any,any,grounded,Natural,Y ≤0; light ≤7,common,1,20,41,,0.7,1.1,FALSE
1,20,Raticate (Alolan),Overworld,Deep Dark,any,any,grounded,Derelict,Y ≤0,uncommon,1.6,20,41,FALSE,0.7,1.1,FALSE
1,20,Raticate (Alolan),Spooky,,night,any,grounded,Natural,light ≥8,common,1,20,41,,0.7,1.1,FALSE
1,20,Raticate (Alolan),Spooky,Deep Dark,any,any,grounded,Derelict,,uncommon,1.6,20,41,FALSE,0.7,1.1,FALSE
1,21,Spearow,Badlands,,day,any,grounded,"Natural, Treetop",light ≥8,common,9,1,26,,0.7,1,FALSE
1,21,Spearow,Savanna,,day,any,grounded,"Natural, Treetop",light ≥8,common,9,1,26,,0.7,1,FALSE
1,21,Spearow,Sky,,day,any,grounded,"Natural, Treetop",light ≥8,common,9,1,26,,0.7,1,FALSE
1,22,Fearow,Badlands,,day,any,grounded,"Natural, Treetop",light ≥8,common,1,20,44,,1.35,2,FALSE
1,22,Fearow,Savanna,,day,any,grounded,"Natural, Treetop",light ≥8,common,1,20,44,,1.35,2,FALSE
1,22,Fearow,Sky,,day,any,grounded,"Natural, Treetop",light ≥8,common,1,20,44,,1.35,2,FALSE
1,23,Ekans (Classic),Arid,,any,any,grounded,Natural,light ≥8,common,4.05,4,29,,1.7,0.4,FALSE
1,23,Ekans (Legacy),Arid,,any,any,grounded,Natural,light ≥8,common,0.27,4,29,,1.7,0.4,FALSE
1,23,Ekans (Attack),Arid,,any,any,grounded,Natural,light ≥8,common,0.27,4,29,,1.7,0.4,FALSE
1,23,Ekans (Speed),Arid,,any,any,grounded,Natural,light ≥8,common,0.27,4,29,,1.7,0.4,FALSE
1,23,Ekans (Elusive),Arid,,any,any,grounded,Natural,light ≥8,common,0.27,4,29,,1.7,0.4,FALSE
1,23,Ekans (Sound),Arid,,any,any,grounded,Natural,light ≥8,common,0.27,4,29,,1.7,0.4,FALSE
1,23,Ekans (Dark),Deep Dark,,any,any,grounded,Natural,,common,5.4,4,29,,1.7,0.4,FALSE
1,24,Arbok (Classic),Arid,,any,any,grounded,Natural,light ≥8,common,0.45,22,45,,1.4,2.3,FALSE
1,24,Arbok (Legacy),Arid,,any,any,grounded,Natural,light ≥8,common,0.03,22,45,,1.4,2.3,FALSE
1,24,Arbok (Attack),Arid,,any,any,grounded,Natural,light ≥8,common,0.03,22,45,,1.4,2.3,FALSE
1,24,Arbok (Speed),Arid,,any,any,grounded,Natural,light ≥8,common,0.03,22,45,,1.4,2.3,FALSE
1,24,Arbok (Elusive),Arid,,any,any,grounded,Natural,light ≥8,common,0.03,22,45,,1.4,2.3,FALSE
1,24,Arbok (Sound),Arid,,any,any,grounded,Natural,light ≥8,common,0.03,22,45,,1.4,2.3,FALSE
1,24,Arbok (Dark),Deep Dark,,any,any,grounded,Natural,,common,0.6,22,45,,1.4,2.3,FALSE
1,25,Pikachu,Forest,Spooky,any,any,grounded,Natural,light ≥8; ×2 thunder,uncommon,3.75,16,32,,0.7,1.3,FALSE
1,25,Pikachu (Alola),Beach,Freezing,any,any,grounded,Natural,light ≥8; ×5 thunder,uncommon,1.8,16,32,,0.7,1.3,FALSE
1,25,Pikachu (Alola),Tropical Island,Freezing,any,any,grounded,Natural,light ≥8; ×5 thunder,uncommon,1.8,16,32,,0.7,1.3,FALSE
1,25,Pikachu (Belle),Sunflower Plains,,any,any,grounded,Natural,light ≥8,rare,2.3,22,44,,0.7,1.3,FALSE
1,25,Pikachu (Libre),Savanna,,any,any,grounded,Natural,light ≥8,rare,2.3,22,44,,0.7,1.3,FALSE
1,25,Pikachu (Phd),Jungle,,any,any,grounded,Natural,light ≥8,rare,2.3,22,44,,0.7,1.3,FALSE
1,25,Pikachu (Pop Star),Cherry Grove,,any,any,grounded,Natural,light ≥8,rare,2.3,22,44,,0.7,1.3,FALSE
1,25,Pikachu (Rock Star),Badlands,,any,any,grounded,Natural,light ≥8,rare,2.3,22,44,,0.7,1.3,FALSE
1,25,Pikachu (Cosplay),,,any,any,grounded,,,uncommon,0,1,10,,0.7,1.3,FALSE
1,26,Raichu,Forest,Spooky,any,any,grounded,Natural,light ≥8; ×5 thunder,uncommon,0.048,27,49,,0.8,1.5,FALSE
1,26,Raichu (Alolan),Beach,Freezing,any,any,grounded,Natural,light ≥8; ×5 thunder,uncommon,0.016,27,49,,0.8,1.75,FALSE
1,26,Raichu (Alolan),Skyroot Forest,Freezing,any,any,grounded,Natural,light ≥8; ×5 thunder,uncommon,0.016,27,49,,0.8,1.75,FALSE
1,26,Raichu (Alolan),Skyroot Woodland,Freezing,any,any,grounded,Natural,light ≥8; ×5 thunder,uncommon,0.016,27,49,,0.8,1.75,FALSE
1,26,Raichu (Alolan),Tropical Island,Freezing,any,any,grounded,Natural,light ≥8; ×5 thunder,uncommon,0.016,27,49,,0.8,1.75,FALSE
1,27,Sandshrew,Desert,,any,any,grounded,Natural,,common,7,5,30,,0.8,1,FALSE
1,27,Sandshrew (Alolan),Glacial,,any,any,grounded,Natural,,uncommon,7,15,32,,0.8,1,FALSE
1,28,Sandslash,Desert,,any,any,grounded,Natural,,common,1.8,22,47,,1,1.3,FALSE
1,28,Sandslash (Alolan),Glacial,,any,any,grounded,Natural,,uncommon,1.8,24,55,,1,1.3,FALSE
1,29,Nidoran F,Savanna,,any,any,grounded,"Natural, Wild",light ≥8,uncommon,8.4,3,28,,0.7,0.8,FALSE
1,30,Nidorina,Savanna,,any,any,grounded,"Natural, Wild",light ≥8,uncommon,1.52,16,37,,1,0.8,FALSE
1,31,Nidoqueen,Savanna,,any,any,grounded,"Natural, Wild",light ≥8,uncommon,0.08,37,51,,1.2,1.6,FALSE
1,32,Nidoran M,Savanna,,any,any,grounded,"Natural, Wild",light ≥8,uncommon,8.4,3,28,,0.7,0.8,FALSE
1,33,Nidorino,Savanna,,any,any,grounded,"Natural, Wild",light ≥8,uncommon,1.52,16,37,,1,0.9,FALSE
1,34,Nidoking,Savanna,,any,any,grounded,"Natural, Wild",light ≥8,uncommon,0.08,37,51,,1.5,2.25,FALSE
1,35,Clefairy,Dripstone,,night,any,grounded,Natural,light ≥8,uncommon,1.52,17,32,,1,1.2,FALSE
1,35,Clefairy,Aether,,any,any,grounded,Natural,light ≤7,uncommon,1.52,17,32,,1,1.2,FALSE
1,35,Clefairy,Dripstone,,any,any,grounded,Natural,light ≤7,uncommon,1.52,17,32,,1,1.2,FALSE
1,35,Clefairy,Hills,,night,any,grounded,Natural,moon 0; light ≥8,uncommon,1.52,17,32,,1,1.2,FALSE
1,35,Clefairy,Magical,Spooky,night,any,grounded,Natural,light ≥8,uncommon,1.52,17,32,,1,1.2,FALSE
1,36,Clefable,Dripstone,,night,any,grounded,Natural,light ≥8,uncommon,0.08,27,48,,1,1.6,FALSE
1,36,Clefable,Aether,,any,any,grounded,Natural,light ≤7,uncommon,0.08,27,48,,1,1.6,FALSE
1,36,Clefable,Dripstone,,any,any,grounded,Natural,light ≤7,uncommon,0.08,27,48,,1,1.6,FALSE
1,36,Clefable,Hills,,night,any,grounded,Natural,moon 0; light ≥8,uncommon,0.08,27,48,,1,1.6,FALSE
1,36,Clefable,Magical,Spooky,night,any,grounded,Natural,light ≥8,uncommon,0.08,27,48,,1,1.6,FALSE
1,37,Vulpix,Forest,Freezing,any,any,grounded,Natural,light ≥8; ×2.5 twilight,uncommon,5.5,5,30,,0.7,1.1,FALSE
1,37,Vulpix,Taiga,Freezing,any,any,grounded,Natural,light ≥8; ×2.5 twilight,uncommon,5.5,5,30,,0.7,1.1,FALSE
1,37,Vulpix,Nether Forest,Nether Frozen,any,any,grounded,Natural,,common,1.9,5,30,,0.7,1.1,FALSE
1,37,Vulpix (Alolan),Snowy Forest,,any,any,grounded,Natural,light ≥8; ×2.5 twilight,uncommon,5.5,5,30,,0.7,1.1,FALSE
1,37,Vulpix (Alolan),Snowy Taiga,,any,any,grounded,Natural,light ≥8; ×2.5 twilight,uncommon,5.5,5,30,,0.7,1.1,FALSE
